"Sample","Date","Customer","Product","Grade","Client_Code","Analysis","Name","Unit","Type","A","B"
5843875,"08/01/2014 03:40:07 PM","U4","PET_FOOD","WETPETFD","2014000005, 2014000007 & 2014000009 WET PETFOOD","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",18.658380735,1.4584627246
5843875,"08/01/2014 03:40:07 PM","U4","PET_FOOD","WETPETFD","2014000005, 2014000007 & 2014000009 WET PETFOOD","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",18.658380735,1.559395357
5852008,"10/01/2014 05:21:55 PM","MRWYPD","MISC_FOOD","NONE","SAMPLES 110712 TO 110721","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",0.6401412726,0.62745863
5852008,"10/01/2014 05:21:55 PM","MRWYPD","MISC_FOOD","NONE","SAMPLES 110712 TO 110721","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",0.6401412726,0.6343042071
5915438,"31/01/2014 04:13:30 PM","U4","MEAT_BONE","MEATMEAL","2014000726 TO 2014000732 MEALS/POWDERS","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",27.683929202,27.447989354
5915438,"31/01/2014 04:13:30 PM","U4","MEAT_BONE","MEATMEAL","2014000726 TO 2014000732 MEALS/POWDERS","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",27.683929202,27.517829767
5995025,"27/02/2014 12:27:51 PM","SUBWAY","MEAT_PROD","A004540C","A004540C SLICED HAM","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",3.5050814811,3.4593688408
5995025,"27/02/2014 12:27:51 PM","SUBWAY","MEAT_PROD","A004540C","A004540C SLICED HAM","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",3.5050814811,3.4790301755
6041957,"15/03/2014 11:32:19 AM","AUKADC","CEREAL_PRD","NONE","444533 COLES SAVOURY FLAKES 200g x 2 USE BY 20/8/2014 & 1/7/2014","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",8.6522310112,5.3247901016
6041957,"15/03/2014 11:32:19 AM","AUKADC","CEREAL_PRD","NONE","444533 COLES SAVOURY FLAKES 200g x 2 USE BY 20/8/2014 & 1/7/2014","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",8.6522310112,5.3844252163
