"Sample","Date","Customer","Product","Grade","Client_Code","Analysis","Name","Unit","Type","A","B"
7151655,"04/03/2015 11:57:05 AM","RIDLEYM","PDR_INFANT","NONE","SAMPLES 1A-3A INFANT FORMULA","FATS011299","Fat","G_P_100G","Interim Precision",18.460955269,22.31867284
7167587,"09/03/2015 05:56:27 PM","MG20","PDR_INFANT","MG3698","CNW08MAR15Q0","FATS011299","Fat","G_P_100G","Interim Precision",19.234211835,23.10514729
7167587,"09/03/2015 05:56:27 PM","MG20","PDR_INFANT","MG3698","CNW08MAR15Q0","FATS011299","Fat","G_P_100G","Interim Precision",19.234211835,23.436619718
7167587,"09/03/2015 05:56:27 PM","MG20","PDR_INFANT","MG3698","CNW08MAR15Q0","FATS011299","Fat","G_P_100G","Interim Precision",23.10514729,23.436619718
7167588,"09/03/2015 05:56:40 PM","MG20","PDR_INFANT","MG3698","CNW08MAR15Q0","FATS011299","Fat","G_P_100G","Interim Precision",19.129221879,23.512719165
7167589,"09/03/2015 05:56:53 PM","MG20","PDR_INFANT","MG3698","CNW08MAR15Q0","FATS011299","Fat","G_P_100G","Interim Precision",17.734087975,23.132951345
7167590,"09/03/2015 05:57:06 PM","MG20","PDR_INFANT","MG3698","CNW08MAR15Q0","FATS011299","Fat","G_P_100G","Interim Precision",19.908421262,23.346892442
7167591,"09/03/2015 05:57:19 PM","MG20","PDR_INFANT","MG3698","CNW08MAR15Q0","FATS011299","Fat","G_P_100G","Interim Precision",18.92669378,23.199465802
7175560,"11/03/2015 04:16:35 PM","MG20","PDR_INFANT","MG3698","CNW09MAR15Q0","FATS011299","Fat","G_P_100G","Interim Precision",24.316652649,24.517741129
7175561,"11/03/2015 04:16:49 PM","MG20","PDR_INFANT","MG3698","CNW09MAR15Q0","FATS011299","Fat","G_P_100G","Interim Precision",24.078909196,24.021901444
7175563,"11/03/2015 04:17:03 PM","MG20","PDR_INFANT","MG3698","CNW09MAR15Q0","FATS011299","Fat","G_P_100G","Interim Precision",23.922703317,23.943661972
7175565,"11/03/2015 04:17:18 PM","MG20","PDR_INFANT","MG3698","CNW09MAR15Q0","FATS011299","Fat","G_P_100G","Interim Precision",23.887409661,23.715139442
7175566,"11/03/2015 04:17:32 PM","MG20","PDR_INFANT","MG3698","CNW09MAR15Q0","FATS011299","Fat","G_P_100G","Interim Precision",24.510792818,23.733040702
7195674,"18/03/2015 05:36:35 AM","MG80","PDR_INFANT","MG3668","JNX17MAR15W3","FATS011299","Fat","G_P_100G","Interim Precision",22.028698664,12.856438086
7195674,"18/03/2015 05:36:35 AM","MG80","PDR_INFANT","MG3668","JNX17MAR15W3","FATS011299","Fat","G_P_100G","Interim Precision",22.028698664,23.474270091
7195674,"18/03/2015 05:36:35 AM","MG80","PDR_INFANT","MG3668","JNX17MAR15W3","FATS011299","Fat","G_P_100G","Interim Precision",12.856438086,23.474270091
7197525,"18/03/2015 11:10:15 AM","T10","PDR_INFANT","INFPOWD","200-IF 1251200 6150225","FATS011299","Fat","G_P_100G","Interim Precision",24.581430746,24.32890929
7197544,"18/03/2015 11:14:58 AM","T10","PDR_INFANT","INFPOWD","200-IF 1251200 6150225","FATS011299","Fat","G_P_100G","Interim Precision",14.164225645,27.594202899
7198612,"18/03/2015 01:39:37 PM","MG20","PDR_INFANT","MG3668","CNX12MAR15Q0","FATS011299","Fat","G_P_100G","Interim Precision",22.849462366,23.246393993
7199020,"18/03/2015 03:02:55 PM","MG20","PDR_INFANT","MG3668","CNX13MAR15Q0","FATS011299","Fat","G_P_100G","Interim Precision",25.074454799,23.725956772
7209152,"21/03/2015 08:59:43 AM","T10","PDR_INFANT","1253200","6150318-087 FOLLOW ON","FATS011299","Fat","G_P_100G","Interim Precision",19.921760391,20.596840257
7209152,"21/03/2015 08:59:43 AM","T10","PDR_INFANT","1253200","6150318-087 FOLLOW ON","FATS011299","Fat","G_P_100G","Interim Precision",19.921760391,20.675389648
7209152,"21/03/2015 08:59:43 AM","T10","PDR_INFANT","1253200","6150318-087 FOLLOW ON","FATS011299","Fat","G_P_100G","Interim Precision",20.265997024,20.596840257
7209152,"21/03/2015 08:59:43 AM","T10","PDR_INFANT","1253200","6150318-087 FOLLOW ON","FATS011299","Fat","G_P_100G","Interim Precision",20.265997024,20.675389648
7214186,"23/03/2015 03:06:29 PM","MG20","PDR_INFANT","MG3740","CSS19MAR15Q0","FATS011299","Fat","G_P_100G","Interim Precision",13.911604361,13.807076497
7217609,"24/03/2015 01:23:32 PM","MG20","PDR_INFANT","MG3669","CNX21MAR15Q0","FATS011299","Fat","G_P_100G","Interim Precision",23.780938308,24.782409528
7232267,"27/03/2015 09:07:50 PM","T10","PDR_INFANT","1251200","660 - PROD014547 (P31-42) - Vit/Min/Chem Comp 1kg","FATS011299","Fat","G_P_100G","Interim Precision",28.409487269,28.177544748
7232809,"28/03/2015 09:13:11 AM","T10","PDR_INFANT","1251200","6150326-007, 6150326-029 & 6150326-038","FATS011299","Fat","G_P_100G","Interim Precision",29.779482263,29.725801763
7232809,"28/03/2015 09:13:11 AM","T10","PDR_INFANT","1251200","6150326-007, 6150326-029 & 6150326-038","FATS011299","Fat","G_P_100G","Interim Precision",29.779482263,29.763070296
7232809,"28/03/2015 09:13:11 AM","T10","PDR_INFANT","1251200","6150326-007, 6150326-029 & 6150326-038","FATS011299","Fat","G_P_100G","Interim Precision",30.159506801,29.725801763
7232809,"28/03/2015 09:13:11 AM","T10","PDR_INFANT","1251200","6150326-007, 6150326-029 & 6150326-038","FATS011299","Fat","G_P_100G","Interim Precision",30.159506801,29.763070296
7232813,"28/03/2015 09:13:56 AM","T10","PDR_INFANT","1251200","6150326-007, 6150326-029 & 6150326-038","FATS011299","Fat","G_P_100G","Interim Precision",27.504967357,27.593901078
7232813,"28/03/2015 09:13:56 AM","T10","PDR_INFANT","1251200","6150326-007, 6150326-029 & 6150326-038","FATS011299","Fat","G_P_100G","Interim Precision",27.504967357,27.753779698
