"Sample","Date","Customer","Product","Grade","Client_Code","Analysis","Name","Unit","Type","A","B","diff","Mean","horwitz","Prod2","sqr","f5"
5852008,"10/01/2014 05:21:55 PM","MRWYPD","MISC_FOOD","NONE","SAMPLES 110712 TO 110721","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",0.6401412726,0.62745863,-0.0126826426,0.6337999513,0.0271532211516621,"MISC_FOOD",0.000160849423319334,-0.0126826426
5852008,"10/01/2014 05:21:55 PM","MRWYPD","MISC_FOOD","NONE","SAMPLES 110712 TO 110721","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",0.6401412726,0.6343042071,-0.00583706549999996,0.63722273985,0.0272777381845302,"MISC_FOOD",3.40713336512898e-05,-0.00583706549999996
5915438,"31/01/2014 04:13:30 PM","U4","MEAT_BONE","MEATMEAL","2014000726 TO 2014000732 MEALS/POWDERS","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",27.683929202,27.447989354,-0.235939848000001,27.565959278,0.669322378995905,"MEAT_BONE",0.0556676118742636,-0.235939848000001
5915438,"31/01/2014 04:13:30 PM","U4","MEAT_BONE","MEATMEAL","2014000726 TO 2014000732 MEALS/POWDERS","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",27.683929202,27.517829767,-0.166099435000003,27.6008794845,0.670042579414189,"MEAT_BONE",0.0275890223073203,-0.166099435000003
5995025,"27/02/2014 12:27:51 PM","SUBWAY","MEAT_PROD","A004540C","A004540C SLICED HAM","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",3.5050814811,3.4593688408,-0.0457126403000001,3.48222516095,0.115440781475597,"MEAT_PROD",0.00208964548319719,-0.0457126403000001
5995025,"27/02/2014 12:27:51 PM","SUBWAY","MEAT_PROD","A004540C","A004540C SLICED HAM","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",3.5050814811,3.4790301755,-0.0260513055999998,3.4920558283,0.115717570551218,"MEAT_PROD",0.000678670523464581,-0.0260513055999998
6041957,"15/03/2014 11:32:19 AM","AUKADC","CEREAL_PRD","NONE","444533 COLES SAVOURY FLAKES 200g x 2 USE BY 20/8/2014 & 1/7/2014","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",7.5450370894,7.4304609998,-0.1145760896,7.4877490446,0.221211800521879,"CEREAL_PRD",0.0131276803080272,-0.1145760896
6100707,"04/04/2014 08:21:06 AM","U5B","CEREAL_PRD","PSYLLIUM_H","2014001657 PSYLLIUM HUSK","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",11.244729033,11.191520468,-0.0532085650000003,11.2181247505,0.31185413730928,"CEREAL_PRD",0.00283115138935925,-0.0532085650000003
6100707,"04/04/2014 08:21:06 AM","U5B","CEREAL_PRD","PSYLLIUM_H","2014001657 PSYLLIUM HUSK","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",11.244729033,11.213464124,-0.0312649090000008,11.2290965785,0.312113217373381,"CEREAL_PRD",0.00097749453477833,-0.0312649090000008
6101573,"04/04/2014 10:51:24 AM","N8","FAECES","NONE","14.058 DOG 28 WHOLE OATS - LOTUS","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",40.127808699,39.764780674,-0.363028024999998,39.9462946865,0.917255365140803,"FAECES",0.131789346935399,-0.363028024999998
6101573,"04/04/2014 10:51:24 AM","N8","FAECES","NONE","14.058 DOG 28 WHOLE OATS - LOTUS","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",40.127808699,40.14602141,0.0182127110000039,40.1369150545,0.920972283913597,"FAECES",0.000331702841969662,0.0182127110000039
6228697,"19/05/2014 12:17:25 PM","AUREFO","CEREAL_PRD","NONE","RICE & CORN THINS","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",3.1062519735,2.9674292132,-0.1388227603,3.03684059335,0.102770919362789,"CEREAL_PRD",0.0192717587773113,-0.1388227603
6228697,"19/05/2014 12:17:25 PM","AUREFO","CEREAL_PRD","NONE","RICE & CORN THINS","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",3.1062519735,2.9907931606,-0.1154588129,3.04852256705,0.103106652822254,"CEREAL_PRD",0.0133307374762772,-0.1154588129
6228697,"19/05/2014 12:17:25 PM","AUREFO","CEREAL_PRD","NONE","RICE & CORN THINS","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",2.9674292132,2.9907931606,0.0233639474,2.9791111869,0.101108936693771,"CEREAL_PRD",0.000545874038109968,0.0233639474
