"SAMPLE_NUMBER","LOGIN_DATE","PRODUCT","PRODUCT_GRADE","X_CLIENT_CODE","ANALYSIS","REPORTED_NAME","UNITS","ENTRY","DATE_STARTED","REPLICATE_COUNT","ORIGINAL_SAMPLE","TEXT_ID","REPORTABLE","DESCRIPTION","STATUS","CUSTOMER","PROJECT"
5822773,"31/12/2013 07:27:17 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G","2.8472740851","31/12/2013 05:16:17 PM",1,5822773,"QC-IRM001-5822773",TRUE,"In house standard reference material (batch analysis)","E","",""
5822774,"31/12/2013 07:27:42 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G","2.8112247468","31/12/2013 05:16:18 PM",1,5822774,"QC-IRM001-5822774",TRUE,"In house standard reference material (batch analysis)","E","",""
5822775,"31/12/2013 07:28:31 AM","QC","DUPLICATE","","ASHS040493","Ash @ 550°C","G_P_100G","2.9896702424","31/12/2013 05:16:18 PM",1,5812359,"QC-DUPLICATE(5812359)-5822775",TRUE,"Duplicate QC sample","E","",""
5824222,"31/12/2013 01:25:43 PM","MEAT_PROD","NONE","# 108 ALDI CHAMPAGNE","ASHS040493","Ash @ 550°C","G_P_100G","4.1672548632","03/01/2014 08:58:31 AM",1,5824222,"31DEC13/5824222",TRUE,"","A","RIDDER","DTS1390061"
5824261,"31/12/2013 01:30:46 PM","MEAT_PROD","NONE","# 107 ALDI CMIDDLE BACON","ASHS040493","Ash @ 550°C","G_P_100G","2.7214861003","03/01/2014 08:58:31 AM",1,5824261,"31DEC13/5824261",TRUE,"","A","RIDDER","DTS1390063"
5824938,"31/12/2013 03:33:01 PM","VEGETABLE","POTATOES","RED POTATO","ASHS040493","Ash @ 550°C","G_P_100G","1.0067407861","03/01/2014 08:58:31 AM",1,5824938,"31DEC13/5824938",TRUE,"","A","SAALS","DTS1390119"
5824942,"31/12/2013 03:34:21 PM","VEGETABLE","POTATOES","BLUE POTATO","ASHS040493","Ash @ 550°C","G_P_100G","1.0245901639","03/01/2014 08:58:31 AM",1,5824942,"31DEC13/5824942",TRUE,"","A","SAALS","DTS1390120"
5827427,"02/01/2014 11:37:33 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G","2.8060976794","03/01/2014 08:58:31 AM",1,5827427,"QC-IRM001-5827427",TRUE,"In house standard reference material (batch analysis)","E","",""
5827428,"02/01/2014 11:38:04 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G","2.7519762846","03/01/2014 08:58:31 AM",1,5827428,"QC-IRM001-5827428",TRUE,"In house standard reference material (batch analysis)","E","",""
5827759,"02/01/2014 12:41:55 PM","MEAT_PROD","NONE","HOT DOG BATCH:Q358 USE BY:22/02/2014","ASHS040493","Ash @ 550°C","G_P_100G","2.8411364546","07/01/2014 08:51:26 AM",1,5827759,"02JAN14/5827759",TRUE,"","A","TIBAL","DTS1400126"
5827792,"02/01/2014 12:45:31 PM","MEAT_PROD","NONE","HOT DOG BATCH:Q354 USE BY:18/02/2014","ASHS040493","Ash @ 550°C","G_P_100G","3.0219244031","07/01/2014 08:51:27 AM",1,5827792,"02JAN14/5827792",TRUE,"","A","TIBAL","DTS1400131"
5827804,"02/01/2014 11:48:03 AM","NUTS","MIXED","SOY & WASABI SNACK","ASHS040493","Ash @ 550°C","G_P_100G","2.6318399735","07/01/2014 08:51:28 AM",1,5827797,"02JAN14/5827804",TRUE,"","A","TRUMPS","DTSQ1400018"
5830611,"03/01/2014 12:29:23 PM","MEAT_PROD","NONE","HOT DOG BATCH:Q003 USE BY:04/03/2014","ASHS040493","Ash @ 550°C","G_P_100G","2.6413100898","07/01/2014 08:51:23 AM",1,5830611,"03JAN14/5830611",TRUE,"","A","TIBAL","DTS1400340"
5830612,"03/01/2014 12:29:22 PM","MISC_FOOD","SPRINGROLL","SAMPLE 1 to 3","ASHS040493","Ash @ 550°C","G_P_100G","1.343093571","07/01/2014 08:51:29 AM",1,5830612,"03JAN14/5830612",TRUE,"SAMPLE 1","A","PACWESTFD","DTS1400336"
5830615,"03/01/2014 12:30:24 PM","MISC_FOOD","SPRINGROLL","SAMPLE 1 to 3","ASHS040493","Ash @ 550°C","G_P_100G","1.7069875967","07/01/2014 08:51:30 AM",1,5830615,"03JAN14/5830615",TRUE,"SAMPLE 2","A","PACWESTFD","DTS1400336"
5830636,"03/01/2014 12:34:31 PM","MEAT_PROD","BEEF","BEEF SAUSAGE USE BY:15/01/2014 ","ASHS040493","Ash @ 550°C","G_P_100G","2.2014351615","07/01/2014 08:51:24 AM",1,5830636,"03JAN14/5830636",TRUE,"","A","TIBAL","DTS1400343"
5830648,"03/01/2014 12:38:40 PM","MEAT_PROD","LAMB","LAMB SAUSAGE USE BY:15/01/2014","ASHS040493","Ash @ 550°C","G_P_100G","2.0743712227","07/01/2014 08:51:25 AM",1,5830648,"03JAN14/5830648",TRUE,"","A","TIBAL","DTS1400346"
5830651,"03/01/2014 12:40:14 PM","MEAT_PROD","PORK","PORK SAUSAGE USE BY:15/01/2014","ASHS040493","Ash @ 550°C","G_P_100G","2.7632865993","07/01/2014 08:51:26 AM",1,5830651,"03JAN14/5830651",TRUE,"","A","TIBAL","DTS1400347"
5834477,"06/01/2014 07:39:09 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G","2.7422184677","07/01/2014 08:51:23 AM",1,5834477,"QC-IRM001-5834477",TRUE,"In house standard reference material (batch analysis)","E","",""
5834479,"06/01/2014 07:40:17 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G","2.8051529791","07/01/2014 08:51:30 AM",1,5834479,"QC-IRM001-5834479",TRUE,"In house standard reference material (batch analysis)","E","",""
5836641,"06/01/2014 03:32:37 PM","MEAT_PROD","HAM","REF #111 SHREDDED HAM HOCK MEAT UBD 07/01/14 BATCH 312","ASHS040493","Ash @ 550°C","G_P_100G","2.9181535628","07/01/2014 05:50:18 PM",1,5836641,"06JAN14/5836641",TRUE,"","A","RIDDER","DTS1400709"
5837971,"07/01/2014 09:15:00 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G","2.8552674762","07/01/2014 05:50:17 PM",1,5837971,"QC-IRM001-5837971",TRUE,"In house standard reference material (batch analysis)","E","",""
5837976,"07/01/2014 09:16:19 AM","QC","DUPLICATE","","ASHS040493","Ash @ 550°C","G_P_100G","2.871749927","07/01/2014 05:50:18 PM",1,5836641,"QC-DUPLICATE(5836641)-5837976",TRUE,"Duplicate QC sample","E","",""
5838102,"07/01/2014 09:56:03 AM","CANNEDFOOD","CANNEDFOOD","HOMEBRAND CORNED BEEF BATCH WW2243","ASHS040493","Ash @ 550°C","G_P_100G","2.5359719819","09/01/2014 07:33:39 AM",1,5838102,"07JAN14/5838102",TRUE,"","A","B23","DTS1400873"
5838213,"07/01/2014 10:05:00 AM","PACK_MEALS","MEALSONWHE","130020334","ASHS040493","Ash @ 550°C","G_P_100G","0.760695493","14/01/2014 08:10:54 AM",1,5838213,"07JAN14/5838213",TRUE,"WHOLE MEAL","A","MACRAN","CL1400012"
5838803,"07/01/2014 11:40:36 AM","CEREAL_PRD","NONE","Test 701: 10.5in YUM Low Sodium Flour Tortilla 838g","ASHS040493","Ash @ 550°C","G_P_100G","1.1209895632","09/01/2014 07:33:41 AM",1,5838803,"07JAN14/5838803",TRUE,"Test 701: 10.5in YUM Low Sodium Flour Tortilla 838g DOM : 27/05/2013 Batch :  27/05/14","A","GRUM","DTS1400914"
5838807,"07/01/2014 11:42:54 AM","CEREAL_PRD","TACOS","Test 832: Easy Fill Taco Shell with 0.44%","ASHS040493","Ash @ 550°C","G_P_100G","1.3693467337","09/01/2014 07:33:40 AM",1,5838807,"07JAN14/5838807",TRUE,"Test 832: Easy Fill Taco Shell with 0.44% DOM : 6/1/2014 Batch :","A","GRUM","DTS1400915"
5839710,"07/01/2014 02:07:10 PM","MEAT_PROD","NONE","#112 TIBALDI TURKEY PORTION","ASHS040493","Ash @ 550°C","G_P_100G","2.7632754809","09/01/2014 07:33:33 AM",1,5839710,"07JAN14/5839710",TRUE,"","A","RIDDER","DTS1401011"
5839724,"07/01/2014 02:10:02 PM","MEAT_PROD","NONE","#113 TIBALDI CHICKEN PORTION","ASHS040493","Ash @ 550°C","G_P_100G","2.447379193","09/01/2014 07:33:34 AM",1,5839724,"07JAN14/5839724",TRUE,"","A","RIDDER","DTS1401015"
5839998,"07/01/2014 03:13:33 PM","MISC_FOOD","PIZZA","43279 COLES Chilled Pizza Ham + Cheese","ASHS040493","Ash @ 550°C","G_P_100G","2.1666356704","09/01/2014 02:26:15 PM",1,5839998,"08JAN14/5839998",TRUE,"43279 COLES Chilled Pizza Ham + Cheese   :  Monitoring Testing Batch :  Fac STD","A","GFCPAG","DTS1401038"
5840007,"07/01/2014 03:15:49 PM","MISC_FOOD","PIZZA","43280 COLES Chilled Pizza Pepperoni","ASHS040493","Ash @ 550°C","G_P_100G","2.2285612409","09/01/2014 02:26:15 PM",1,5840007,"08JAN14/5840007",TRUE,"43280 COLES Chilled Pizza Pepperoni   :  Monitoring Testing Batch :  Fac STD","A","GFCPAG","DTS1401042"
