"SAMPLE_NUMBER","LOGIN_DATE","PRODUCT","PRODUCT_GRADE","X_CLIENT_CODE","ANALYSIS","REPORTED_NAME","UNITS","ENTRY","DATE_STARTED","REPLICATE_COUNT","ORIGINAL_SAMPLE","TEXT_ID","REPORTABLE","DESCRIPTION","STATUS","CUSTOMER","PROJECT"
5822773,"31/12/2013 07:27:17 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8472740851,2013-12-31 17:00:00,1,5822773,"QC-IRM001-5822773",TRUE,"In house standard reference material (batch analysis)","E","",""
5822774,"31/12/2013 07:27:42 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8112247468,2013-12-31 17:00:00,1,5822774,"QC-IRM001-5822774",TRUE,"In house standard reference material (batch analysis)","E","",""
5827427,"02/01/2014 11:37:33 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8060976794,2014-01-03 09:00:00,1,5827427,"QC-IRM001-5827427",TRUE,"In house standard reference material (batch analysis)","E","",""
5827428,"02/01/2014 11:38:04 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.7519762846,2014-01-03 09:00:00,1,5827428,"QC-IRM001-5827428",TRUE,"In house standard reference material (batch analysis)","E","",""
5834477,"06/01/2014 07:39:09 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.7422184677,2014-01-07 09:00:00,1,5834477,"QC-IRM001-5834477",TRUE,"In house standard reference material (batch analysis)","E","",""
5834479,"06/01/2014 07:40:17 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8051529791,2014-01-07 09:00:00,1,5834479,"QC-IRM001-5834479",TRUE,"In house standard reference material (batch analysis)","E","",""
5837971,"07/01/2014 09:15:00 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8552674762,2014-01-07 18:00:00,1,5837971,"QC-IRM001-5837971",TRUE,"In house standard reference material (batch analysis)","E","",""
5842068,"08/01/2014 10:39:10 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8149579136,2014-01-09 08:00:00,1,5842068,"QC-IRM001-5842068",TRUE,"In house standard reference material (batch analysis)","E","",""
5842091,"08/01/2014 10:40:18 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8227182743,2014-01-09 08:00:00,1,5842091,"QC-IRM001-5842091",TRUE,"In house standard reference material (batch analysis)","E","",""
5844981,"09/01/2014 07:38:14 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.7398615232,2014-01-09 14:00:00,1,5844981,"QC-IRM001-5844981",TRUE,"In house standard reference material (batch analysis)","E","",""
